Year,Country,Region,Population,Income,LifeExpectancy,,,,,,,,,,,,,,,,,,,,
1800,Angola,Africa,1567028,359.93,26.98,,,,,,,,,,,,,,,,,,,,
1800,Benin,Africa,636559,553.72,31,,,,,,,,,,,,,,,,,,,,
1800,Botswana,Africa,121000,407.36,33.6,,,,,,,,,,,,,,,,,,,,
1800,Burkina_Faso,Africa,1665421,454.33,29.2,,,,,,,,,,,,,,,,,,,,
1800,Burundi,Africa,899097,447.59,31.5,,,,,,,,,,,,,,,,,,,,
1800,Cameroon,Africa,1860054,517.46,28.75,,,,,,,,,,,,,,,,,,,,
1800,Cape_Verde,Africa,55716,340,33.8,,,,,,,,,,,,,,,,,,,,
1800,Chad,Africa,1432000,400.69,30.9,,,,,,,,,,,,,,,,,,,,
1800,Comoros,Africa,56346,800.61,32.1,,,,,,,,,,,,,,,,,,,,
1800,Congo_Dem_Rep,Africa,5163819,394.03,31.6,,,,,,,,,,,,,,,,,,,,
1800,Congo_Rep,Africa,314465,387.38,32.7,,,,,,,,,,,,,,,,,,,,
1800,Cote_d_Ivoire,Africa,1088530,549.19,31.9,,,,,,,,,,,,,,,,,,,,
1800,Equatorial_Guinea,Africa,80377,379.13,29.8,,,,,,,,,,,,,,,,,,,,
1800,Eritrea,Africa,205010,583.95,30.2,,,,,,,,,,,,,,,,,,,,
1800,Ethiopia,Africa,2948990,619.21,29.7,,,,,,,,,,,,,,,,,,,,
1800,Gabon,Africa,158227,377.54,30.6,,,,,,,,,,,,,,,,,,,,
1800,Ghana,Africa,2016034,505.14,28,,,,,,,,,,,,,,,,,,,,
1800,Guinea,Africa,983959,375.96,29.5,,,,,,,,,,,,,,,,,,,,
1800,Guinea-Bissau,Africa,218167,345,29.3,,,,,,,,,,,,,,,,,,,,
1800,Kenya,Africa,2574000,512.93,25.5,,,,,,,,,,,,,,,,,,,,
1800,Lesotho,Africa,276361,364,32.8,,,,,,,,,,,,,,,,,,,,
1800,Liberia,Africa,313543,544.65,31.1,,,,,,,,,,,,,,,,,,,,
1800,Madagascar,Africa,.,434.14,30.5,,,,,,,,,,,,,,,,,,,,
1800,Malawi,Africa,737000,360,30.3,,,,,,,,,,,,,,,,,,,,
1800,Mali,Africa,1403398,427.43,29.6,,,,,,,,,,,,,,,,,,,,
1800,Mauritania,Africa,382696,374.38,32,,,,,,,,,,,,,,,,,,,,
1800,Mauritius,Africa,.,799.61,31.2,,,,,,,,,,,,,,,,,,,,
1800,Mayotte,Africa,8219,.,.,,,,,,,,,,,,,,,,,,,,
1800,Mozambique,Africa,.,358,30.28,,,,,,,,,,,,,,,,,,,,
1800,Namibia,Africa,229000,350,32.4,,,,,,,,,,,,,,,,,,,,
1800,Niger,Africa,1244861,371.26,30.8,,,,,,,,,,,,,,,,,,,,
